Scientific Name,Common Names,Location
Rhodadendron,Rhododendron,Shade Perennials
Rhus,Sumac,Shrubs
Ribes,Currant,Shrubs
Robinia,Black Locust,Shade and Ornamental Trees
Rodgersia,Rodgersia,Shade Perennials
Rudbeckia,Black-eyed Susan,Sun Perennials
Sago Palm,Sago Palm,Annuals
Salix,Willow,Flowering Trees
Salix,Willow,Shrubs
Salix,Willow,Shade and Ornamental Trees
Salvia,Sage,Annuals
Salvia,Sage,Sun Perennials
Sambucus,Elderberry,Shrubs
Scabiosa,Pincushion Flower,Sun Perennials
Schizachyrium,Little Bluestem,Sun Perennials
Sedum,Stonecrop,Sun Perennials
Solidago,Goldenrod,Sun Perennials
Spiraea,Spirea,Shrubs
Stachys,Lamb’s Ear,Sun Perennials
Stokesia,Stokes’ Aster,Sun Perennials
Sunflower,Sunflower,Annuals
Symphoricarpos,Snowberry,Shrubs
Syringa,Lilac,Flowering Trees
Syringa,Lilac,Shrubs
taxodium,Bald Cypress,Shade and Ornamental Trees
Taxus,Yew,Evergreens
Thuja,Arborvitae,Evergreens
Tiarella,Foamflower,Shade Perennials
Tradescanthia,Spiderwort,Sun Perennials
Ulmus,Elm,Flowering Trees
Ulmus,Elm,Shade and Ornamental Trees
Veronica,Speedwell,Sun Perennials
Viburnum,Viburnum,Shrubs
Vinca,Periwinkle,Annuals
Weeping Cherry,Weeping Cherry,Flowering Trees
Weigela,Weigela,Shrubs
Wisteria,Wisteria,Sun Perennials
